Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,eFG,REB,AST,STL,BLK,ast_tov
Tra'Michael Moton,36.0,29.4,11.9,4.0,9.9,40.1,1.3,3.4,37.1,2.6,3.3,80.5,46.96969696969697,2.9,2.7,1.7,0.1,1.2272727272727273
Zach Cleveland,32.0,28.7,11.8,4.7,7.9,59.3,0.0,0.3,12.5,2.4,4.5,54.2,59.49367088607595,6.3,4.0,0.9,1.2,1.4285714285714286
Dwon Odom,31.0,28.9,11.8,4.5,8.7,51.9,0.2,0.5,42.9,2.6,3.2,81.0,52.87356321839081,5.0,4.6,0.7,0.5,2.705882352941176
Kellen Amos,31.0,31.3,11.8,4.0,10.4,38.7,1.5,5.4,27.5,2.3,3.1,74.7,45.67307692307692,5.2,2.3,1.1,1.1,1.2105263157894737
Justin Bailey,30.0,28.7,11.8,3.8,9.1,41.5,1.4,4.4,31.3,2.9,3.9,74.6,49.45054945054945,3.3,1.1,1.4,0.1,0.8461538461538461
Seydou Traore,28.0,32.4,11.8,4.7,10.9,43.3,0.8,3.2,25.6,1.6,2.0,80.0,46.788990825688074,8.2,2.3,1.5,1.3,1.2777777777777777
Freddy Hicks,28.0,25.5,11.8,3.8,9.1,41.8,0.6,2.4,25.4,3.5,4.8,73.3,45.05494505494505,5.4,2.1,0.8,0.6,1.05
Tayton Conerway,32.0,20.0,11.8,3.9,8.2,47.5,0.8,2.6,32.9,3.1,4.4,70.9,52.4390243902439,2.8,2.5,2.1,0.3,1.0869565217391306
Zakai Zeigler,36.0,31.6,11.8,3.7,9.5,39.3,2.0,5.8,34.4,2.3,3.3,70.6,49.47368421052632,2.8,6.1,1.7,0.1,2.7727272727272725
Simas Lukosius,35.0,30.1,11.8,3.9,9.8,39.2,2.6,6.7,38.5,1.5,1.8,82.5,53.06122448979592,3.1,2.9,0.5,0.2,1.45
Mitchell Saxen,34.0,28.2,11.8,4.6,8.4,54.4,0.0,0.0,0.0,2.6,4.3,61.2,54.76190476190476,7.6,1.5,0.7,1.3,0.9375
Hunter Jack Madden,34.0,32.6,11.8,3.5,8.8,39.3,1.9,4.8,38.9,3.0,3.7,80.8,50.56818181818181,3.0,2.0,1.1,0.0,1.25
Maleek Arington,34.0,37.3,11.8,3.6,8.8,40.3,0.6,2.4,25.9,4.0,5.5,72.9,44.31818181818181,3.4,4.8,2.3,0.1,2.0
Dillon Bailey,32.0,27.2,11.8,3.7,8.6,42.4,2.0,5.6,35.6,2.4,3.4,72.2,54.65116279069768,2.3,1.5,0.5,0.0,1.0
Jaxson Baker,31.0,30.2,11.7,3.9,9.5,41.6,2.1,5.9,35.9,1.7,2.2,80.6,52.10526315789474,6.6,0.7,1.1,0.7,0.8749999999999999
Bernardo da Silva,34.0,26.8,11.7,4.4,7.4,60.4,0.0,0.0,0.0,2.9,5.6,51.3,59.45945945945946,7.0,1.2,0.6,0.8,1.0
Nate Santos,33.0,33.5,11.7,3.9,8.3,47.1,1.5,3.7,41.8,2.4,3.2,75.0,56.024096385542165,6.3,1.5,0.7,0.2,1.0714285714285714
Brock Wisne,33.0,26.7,11.7,4.8,7.8,61.6,0.2,0.7,33.3,1.8,2.5,74.4,62.82051282051282,4.3,1.5,0.7,0.3,1.0
Caleb Stone-Carrawell,32.0,27.7,11.7,4.3,10.8,39.7,1.3,3.9,33.9,1.8,2.6,70.2,45.83333333333333,3.4,1.6,0.3,0.2,1.0
Brandon Rush,32.0,26.5,11.7,4.1,10.5,38.6,2.3,7.2,32.2,1.3,1.5,83.7,50.0,4.1,0.7,1.1,0.3,0.6363636363636362
Lance Jones,39.0,28.6,11.7,3.9,9.6,41.3,2.1,5.7,35.7,1.8,2.4,74.2,51.5625,2.7,1.9,1.3,0.2,1.2666666666666666
Spencer Jones,25.0,29.0,11.7,4.0,9.0,43.8,2.2,5.3,40.9,1.6,2.5,64.5,56.666666666666664,4.1,2.0,1.4,0.8,1.5384615384615383
Trey Robinson,33.0,31.3,11.7,4.3,9.7,43.9,0.6,2.5,22.9,2.5,3.8,67.2,47.42268041237113,7.0,1.9,1.8,0.3,1.0
Luke Appel,35.0,26.2,11.7,4.6,8.8,52.1,0.5,1.2,41.9,1.9,3.1,62.4,55.11363636363635,4.5,1.6,0.3,0.1,0.8
Brendan Wenzel,31.0,35.5,11.6,3.6,9.0,40.5,2.0,5.4,37.7,2.3,2.9,80.9,51.11111111111111,5.1,1.5,0.8,0.2,1.25
